date,total_bid,recognized_bid,recognition_rate
8/1/2013,200,20,10
8/2/2013,150,30,20
8/3/2013,90,45,50
8/4/2013,100,50,50
8/5/2013,235,25,10.63829787
8/6/2013,250,15,6
8/7/2013,240,25,10.41666667
8/8/2013,300,13,4.333333333
8/9/2013,330,13,3.939393939
8/10/2013,220,11,5
8/11/2013,200,15,7.5
8/12/2013,150,45,30
8/13/2013,190,45,23.68421053
8/14/2013,110,35,31.81818182
8/15/2013,230,15,6.52173913
8/16/2013,250,15,6
8/17/2013,240,25,10.41666667
8/18/2013,220,13,5.909090909
8/19/2013,210,17,8.095238095
8/20/2013,200,60,30
8/21/2013,200,20,10
8/22/2013,150,30,20
8/23/2013,190,45,23.68421053
8/24/2013,100,50,50
8/25/2013,230,15,6.52173913
8/26/2013,250,15,6
8/27/2013,140,70,50
8/28/2013,100,13,13
8/29/2013,140,17,12.14285714
8/30/2013,260,25,9.615384615
8/31/2013,200,20,10
